192.168.86.21,239.255.255.250,52017,1900,183
192.168.86.21,239.255.255.250,52017,1900,183
192.168.86.37,140.82.114.25,50792,443,41
140.82.114.25,192.168.86.37,443,50792,52
3.217.166.173,192.168.86.37,443,50617,40
192.168.86.37,3.217.166.173,50617,443,40
192.168.86.37,162.159.130.234,50803,443,91
162.159.130.234,192.168.86.37,443,50803,74
192.168.86.37,162.159.130.234,50803,443,40
192.168.86.37,20.190.135.4,50903,443,40
20.190.135.4,192.168.86.37,443,50903,40
192.168.86.37,20.190.135.4,50903,443,40
192.168.86.37,4.153.29.52,50894,443,41
192.168.86.37,40.118.171.167,50879,443,41
4.153.29.52,192.168.86.37,443,50894,52
40.118.171.167,192.168.86.37,443,50879,52
192.168.86.37,192.168.86.1,60172,53,91
192.168.86.37,192.168.86.1,60172,53,91
192.168.86.1,192.168.86.37,53,60172,352
192.168.86.37,13.107.137.11,50941,443,52
13.107.137.11,192.168.86.37,443,50941,52
192.168.86.37,13.107.137.11,50941,443,40
192.168.86.37,13.107.137.11,50941,443,347
192.168.86.1,192.168.86.37,53,60172,382
192.168.86.37,172.183.192.109,50898,443,41
13.107.137.11,192.168.86.37,443,50941,40
13.107.137.11,192.168.86.37,443,50941,139
192.168.86.37,13.107.137.11,50941,443,418
172.183.192.109,192.168.86.37,443,50898,52
13.107.137.11,192.168.86.37,443,50941,40
13.107.137.11,192.168.86.37,443,50941,5880
13.107.137.11,192.168.86.37,443,50941,297
192.168.86.37,13.107.137.11,50941,443,40
192.168.86.37,13.107.137.11,50941,443,114
192.168.86.37,13.107.137.11,50941,443,1480
192.168.86.37,13.107.137.11,50941,443,1012
192.168.86.37,13.107.137.11,50941,443,1480
192.168.86.37,13.107.137.11,50941,443,207
13.107.137.11,192.168.86.37,443,50941,40
13.107.137.11,192.168.86.37,443,50941,499
13.107.137.11,192.168.86.37,443,50941,40
13.107.137.11,192.168.86.37,443,50941,40
13.107.137.11,192.168.86.37,443,50941,40
192.168.86.37,13.107.137.11,50941,443,40
13.107.137.11,192.168.86.37,443,50941,1500
13.107.137.11,192.168.86.37,443,50941,1395
192.168.86.37,13.107.137.11,50941,443,40
192.168.86.37,192.168.86.1,49826,53,88
